"Newspaper","Location","Owner","2011 circulation","2011 readership","Format and target audience"
"The Advertiser","Adelaide, SA","News Ltd","173957","430000","Tabloid, only metropolitan daily, Adelaide"
"The Age","Melbourne, Vic.","Fairfax","197200+","685000","Broadsheet, higher income readers"
"The Australian","National","News Ltd","130307","257000","Only general national newspaper, higher income readers"
"The Courier Mail","Brisbane, QLD","News Ltd","199284","591000","Tabloid, only metropolitan daily, Brisbane"
"The Daily Telegraph","Sydney, NSW","News Ltd","354893","949000","Tabloid, lower income readers"
"Herald Sun","Melbourne, Vic.","News Ltd","488600","1333000","Tabloid, lower income readers"
"The Mercury","Hobart, Tas.","News Ltd","43513","103000","Tabloid, only metropolitan, Hobart"
"The Northern Territory","Darwin, NT","News Ltd","19985","44000","Tabloid, only metropolitan daily, Darwin"
"The Sydney Morning Herald","Sydney, NSW","Fairfax","200194","754000","Broadsheet, higher income readers"
"The West Australian","Perth, WA","Seven West Media","195007","547000","Feeds into Channel 7 Yahoo! website, only metropolitan daily, Perth"
