"Newspaper","Very short features (< 400 words)","Short features (400 - 800 words)","Features (> 800 words)"
"The Advertiser","46%","41%","13%"
"The Age","19%","55%","26%"
"The Australian","17%","50%","33%"
"The Courier Mail","43%","39%","18%"
"The Daily Telegraph","34%","45%","21%"
"Herald Sun","54%","29%","17%"
"The Mercury","50%","36%","14%"
"The Northern Territory News","79%","11%","11%"
"The Sydney Morning Herald","13%","71%","16%"
"The West Australian","55%","37%","8%"
"Total","29%","48%","23%"
