"Type of source","First source","Second source","Third source","Total","% of first three sources"
"Academic","167","86","52","305","6%"
"Activist","19","24","2","45","1%"
"Business","622","395","217","1234","23%"
"Farmer","11","5","0","16","< 1%"
"Government","87","35","38","160","3%"
"International sources","12","2","3","17","< 1%"
"Media figures","45","53","31","129","2%"
"NGO","34","30","19","83","2%"
"Other","23","14","6","43","1%"
"Political - Coalition","370","378","194","942","18%"
"Political - Greens","105","101","75","281","5%"
"Political - Independent","78","59","47","184","3%"
"Political - Labor","773","464","259","1496","28%"
"Public","90","59","49","198","4%"
"Religious","5","0","0","5","< 1%"
"Scientist","27","16","11","54","1%"
"Think tank","35","24","21","80","1%"
"Unions","49","35","17","101","2%"
"Total","2552","1780","1041","5373","100%"
