"Newspaper","Climate science focus (2011)","Climate science in context (2011)","Climate science focus (2012)","Climate science in context (2012)","Climate science focus (total)","Climate science in context (total)"
"The Advertiser","18 (72%)","7 (28%)","21 (84%)","4 (16%)","39 (78%)","11 (22%)"
"The Age","21 (54%)","18 (46%)","20 (63%)","12 (38%)","41 (58%)","30 (42%)"
"The Australian","48 (61%)","31 (39%)","42 (66%)","22 (34%)","90 (63%)","53 (37%)"
"The Courier Mail","22 (79%)","6 (21%)","21 (84%)","4 (16%)","43 (81%)","10 (19%)"
"The Daily Telegraph","15 (50%)","15 (50%)","21 (60%)","14 (40%)","36 (55%)","29 (45%)"
"Herald Sun","21 (64%)","12 (36%)","10 (63%)","6 (38%)","31 (63%)","18 (37%)"
"The Mercury","13 (57%)","10 (43%)","12 (92%)","1 (8%)","25 (69%)","11 (31%)"
"The Nothern Territory News","6 (75%)","2 (25%)","7 (64%)","4 (36%)","13 (68%)","6 (32%)"
"The Sydney Morning Herald","33 (65%)","18 (35%)","28 (68%)","13 (32%)","61 (66%)","31 (34%)"
"The West Australian","8 (50%)","8 (50%)","5 (63%)","3 (38%)","13 (54%)","11 (46%)"
"Total","205 (62%)","127 (38%)","187 (69%)","83 (31%)","392 (65%)","210 (35%)"
