"Newspaper","Science (2011)","Science & policy (2011)","2011 total","Science (2012)","Science & policy (2012)","2012 total","Science (total)","Science & policy (total)","Grand total"
"The Advertiser","7412 (65%)","4029 (35%)","11441 (100%)","7609 (80%)","1882 (20%)","9491 (100%)","15021 (72%)","5911 (28%)","20932 (100%)"
"The Age","14996 (55%)","12108 (45%)","27104 (100%)","10345 (60%)","6953 (40%)","17298 (100%)","25341 (57%)","19061 (43%)","44402 (100%)"
"The Australian","35157 (54%)","29722 (46%)","64879 (100%)","27129 (66%)","14177 (34%)","41306 (100%)","62286 (59%)","43899 (41%)","106185 (100%)"
"The Courier Mail","11922 (79%)","3081 (21%)","15003 (100%)","5433 (72%)","2141 (28%)","7574 (100%)","17355 (77%)","5222 (23%)","22577 (100%)"
"The Daily Telegraph","5198 (30%)","12187 (70%)","17385 (100%)","7441 (53%)","6557 (47%)","13998 (100%)","12639 (40%)","18744 (60%)","31383 (100%)"
"Herald Sun","11703 (61%)","7402 (39%)","19105 (100%)","4212 (52%)","3873 (48%)","8085 (100%)","15915 (59%)","11275 (41%)","27190 (100%)"
"The Mercury","5181 (47%)","5908 (53%)","11089 (100%)","6554 (87%)","966 (13%)","7520 (100%)","11735 (63%)","6874 (18609%)","18609 (100%)"
"The Northern Territory News","995 (33%)","2038 (67%)","3033 (100%)","3370 (81%)","772 (19%)","4142 (100%)","4365 (61%)","2810 (39%)","7175 (100%)"
"The Sydney Morning Herald","27128 (65%)","14493 (35%)","41621 (100%)","14831 (66%)","7746 (34%)","22577 (100%)","41959 (65%)","22239 (35%)","64198 (100%)"
"The West Australian","2873 (39%)","4525 (61%)","7398 (100%)","1616 (65%)","874 (35%)","2490 (100%)","4489 (45%)","5399 (55%)","9888 (100%)"
"Total","122565 (56%)","95493 (44%)","218058 (100%)","88540 (66%)","46941 (34%)","134481 (100%)","211105 (60%)","141434 (40%)","352539 (100%)"
