"Newspaper","Comment (2011)","Editorial (2011)","Feature (2011)","News (2011)","2011 total","Comment (2012)","Editorial (2012)","Feature (2012)","News (2012)","2012 total","Comment (total)","Editorial (total)","Feature (total)","News (total)","Grand total"
"The Advertiser","8 (32%)","2 (8%)","5 (20%)","10 (40%)","25 (100%)","7 (28%)","0 (0%)","1 (4%)","17 (68%)","25 (100%)","15 (30%)","2 (4%)","6 (12%)","27 (54%)","50 (100%)"
"The Age","14 (36%)","4 (10%)","10 (26%)","11 (28%)","39 (100%)","7 (22%)","2 (6%)","5 (16%)","18 (56%)","32 (100%)","21 (30%)","6 (8%)","15 (21%)","29 (41%)","71 (100%)"
"The Australian","16 (20%)","4 (5%)","40 (51%)","19 (24%)","79 (100%)","19 (30%)","3 (5%)","17 (27%)","25 (39%)","64 (100%)","35 (24%)","7 (5%)","57 (40%)","44 (31%)","143 (100%)"
"The Courier Mail","2 (7%)","1 (4%)","7 (25%)","18 (64%)","28 (100%)","5 (20%)","0 (0%)","3 (12%)","17 (68%)","25 (100%)","7 (13%)","1 (2%)","10 (19%)","35 (66%)","53 (100%)"
"The Daily Telegraph","10 (33%)","1 (3%)","10 (33%)","9 (30%)","30 (100%)","16 (46%)","1 (3%)","7 (20%)","11 (31%)","35 (100%)","26 (40%)","2 (3%)","17 (26%)","20 (31%)","65 (100%)"
"Herald Sun","21 (64%)","1 (3%)","2 (6%)","9 (27%)","33 (100%)","11 (69%)","0 (0%)","1 (6%)","4 (25%)","16 (100%)","32 (65%)","1 (2%)","3 (6%)","13 (27%)","49 (100%)"
"The Mercury","8 (35%)","0 (0%)","2 (9%)","13 (57%)","23 (100%)","5 (38%)","0 (0%)","3 (23%)","5 (38%)","13 (100%)","13 (36%)","0 (0%)","5 (14%)","18 (50%)","36 (100%)"
"The Northern Territory News","3 (38%)","0 (0%)","1 (13%)","4 (50%)","8 (100%)","4 (36%)","0 (0%)","1 (9%)","6 (55%)","11 (100%)","7 (37%)","0 (0%)","2 (11%)","10 (53%)","19 (100%)"
"The Sydney Morning Herald","19 (37%)","3 (6%)","20 (39%)","9 (18%)","51 (100%)","7 (17%)","2 (5%)","7 (17%)","25 (61%)","41 (100%)","26 (28%)","5 (5%)","27 (29%)","34 (37%)","92 (100%)"
"The West Australian","3 (19%)","1 (6%)","4 (25%)","8 (50%)","16 (100%)","1 (13%)","1 (13%)","0 (0%)","6 (75%)","8 (100%)","4 (17%)","2 (8%)","4 (17%)","14 (58%)","24 (100%)"
"Total","104 (31%)","17 (5%)","101 (30%)","110 (33%)","332 (100%)","82 (30%)","9 (3%)","45 (17%)","134 (50%)","270 (100%)","186 (31%)","26 (4%)","146 (24%)","244 (41%)","602 (100%)"
