"Newspaper","Very short features (2011)","Short features (2011)","Features (2011)","2011 total","Very short features (2012)","Short features (2012)","Features (2012)","2012 total","Very short features (total)","Short features (total)","Features (total)","Grand total"
"The Advertiser","1 (20%)","4 (80%)","0 (0%)","5 (100%)","1 (100%)","0 (0%)","0 (0%)","1 (100%)","2 (33%)","4 (67%)","0 (0%)","6 (100%)"
"The Age","1 (10%)","5 (50%)","4 (40%)","10 (100%)","1 (20%)","2 (40%)","2 (40%)","5 (100%)","2 (13%)","7 (47%)","6 (40%)","15 (100%)"
"The Australian","9 (23%)","14 (35%)","17 (43%)","40 (100%)","5 (29%)","8 (47%)","4 (24%)","17 (100%)","14 (25%)","22 (39%)","21 (37%)","57 (100%)"
"The Courier Mail","0 (0%)","3 (43%)","4 (57%)","7 (100%)","1 (33%)","2 (67%)","0 (0%)","3 (100%)","1 (10%)","5 (50%)","4 (40%)","10 (100%)"
"The Daily Telegraph","4 (40%)","3 (30%)","3 (30%)","10 (100%)","5 (71%)","2 (29%)","0 (0%)","7 (100%)","9 (53%)","5 (29%)","3 (18%)","17 (100%)"
"Herald Sun","0 (0%)","1 (50%)","1 (50%)","2 (100%)","1 (100%)","0 (0%)","0 (0%)","1 (100%)","1 (33%)","1 (33%)","1 (33%)","3 (100%)"
"The Mercury","0 (0%)","0 (0%)","2 (100%)","2 (100%)","1 (33%)","2 (67%)","0 (0%)","3 (100%)","1 (20%)","2 (40%)","2 (40%)","5 (100%)"
"The North Territory News","1 (100%)","0 (0%)","0 (0%)","1 (100%)","1 (100%)","0 (0%)","0 (0%)","1 (100%)","2 (100%)","0 (0%)","0 (0%)","2 (100%)"
"Sydney Morning Herald","4 (20%)","11 (55%)","5 (25%)","20 (100%)","0 (0%)","5 (71%)","2 (29%)","7 (%)","4 (15%)","16 (59%)","7 (26%)","27 (100%)"
"The West Australian","1 (25%)","2 (50%)","1 (25%)","4 (100%)","0 (0%)","0 (0%)","0 (0%)","0 (100%)","1 (25%)","2 (50%)","1 (25%)","4 (100%)"
"Total","21 (21%)","43 (43%)","37 (37%)","101 (100%)","16 (36%)","21 (47%)","8 (18%)","45 (100%)","37 (25%)","64 (44%)","45 (31%)","146 (100%)"
