"Newspaper","No (2011)","Yes (2011)","2011 total","No (2012)","Yes (2012)","2012 total","No (total)","Yes (total)","Grand total"
"The Advertiser","4 (40%)","6 (60%)","10 (100%)","15 (88%)","2 (12%)","17 (100%)","19 (70%)","8 (30%)","27 (100%)"
"The Age","3 (27%)","8 (73%)","11 (100%)","13 (72%)","5 (28%)","18 (100%)","16 (55%)","13 (45%)","29 (100%)"
"The Australian","14 (74%)","5 (26%)","19 (100%)","13 (52%)","12 (48%)","25 (100%)","27 (61%)","17 (39%)","44 (100%)"
"The Courier Mail","9 (50%)","9 (50%)","18 (100%)","13 (76%)","4 (24%)","17 (100%)","22 (63%)","13 (37%)","35 (100%)"
"The Daily Telegraph","4 (44%)","5 (56%)","9 (100%)","7 (64%)","4 (36%)","11 (100%)","11 (55%)","9 (45%)","20 (100%)"
"Herald Sun","3 (33%)","6 (67%)","9 (100%)","2 (50%)","2 (50%)","4 (100%)","5 (38%)","8 (62%)","13 (100%)"
"The Mercury","8 (62%)","5 (38%)","13 (100%)","5 (100%)","0 (0%)","5 (100%)","13 (72%)","5 (5%)","18 (100%)"
"The Northern Territory News","2 (50%)","2 (50%)","4 (100%)","6 (100%)","0 (0%)","6 (100%)","8 (80%)","2 (20%)","10 (100%)"
"Sydney Morning Herald","7 (78%)","2 (22%)","9 (100%)","15 (60%)","10 (40%)","25 (100%)","22 (65%)","12 (35%)","34 (100%)"
"The West Australian","3 (38%)","5 (63%)","8 (100%)","5 (83%)","1 (17%)","6 (100%)","8 (57%)","6 (43%)","14 (100%)"
"Total","57 (52%)","43 (48%)","110 (100%)","94 (70%)","40 (30%)","134 (100%)","151 (62%)","93 (38%)","244 (100%)"
