"Newspaper","Rejects (2011)","Suggests doubt (2011)","Accepts (2011)","Unable to discern (2011)","2011 total","Rejects (2012)","Suggests doubt (2012)","Accepts (2012)","Unable to discern (2012)","2012 total","Rejects (total)","Suggests doubt (total)","Accepts (total)","Unable to discern (total)","Grand total"
"The Advertiser","0 (0%)","0 (0%)","9 (100%)","0 (0%)","9 (100%)","2 (40%)","0 (0%)","3 (60%)","0 (0%)","5 (100%)","2 (14%)","0 (0%)","12 (86%)","0 (0%)","14 (100%)"
"The Age","0 (0%)","0 (0%)","21 (95%)","1 (5%)","22 (100%)","0 (0%)","1 (10%)","9 (90%)","0 (0%)","10 (100%)","0 (0%)","1 (3%)","30 (94%)","1 (3%)","32 (100%)"
"The Australian","1 (3%)","15 (44%)","17 (50%)","1 (3%)","34 (100%)","3 (10%)","14 (45%)","14 (45%)","0 (0%)","31 (100%)","4 (6%)","29 (45%)","31 (48%)","1 (2%)","65 (100%)"
"The Courier Mail","0 (0%)","1 (8%)","12 (92%)","0 (0%)","13 (100%)","0 (0%)","0 (0%)","6 (100%)","0 (0%)","6 (100%)","0 (0%)","1 (5%)","18 (95%)","0 (0%)","19 (100%)"
"The Daily Telegraph","2 (20%)","2 (20%)","6 (60%)","0 (0%)","10 (100%)","4 (44%)","2 (22%)","3 (33%)","0 (0%)","9 (100%)","6 (32%)","4 (21%)","9 (47%)","0 (0%)","19 (100%)"
"Herald Sun","9 (43%)","4 (19%)","7 (33%)","1 (5%)","21 (100%)","1 (25%)","1 (25%)","2 (50%)","0 (0%)","4 (100%)","10 (40%)","5 (20%)","9 (36%)","1 (4%)","25 (100%)"
"The Mercury","0 (0%)","0 (0%)","8 (100%)","0 (0%)","8 (100%)","0 (0%)","0 (0%)","1 (100%)","0 (0%)","1 (100%)","0 (0%)","0 (0%)","9 (100%)","0 (0%)","9 (100%)"
"The Northern Territory News","0 (0%)","0 (0%)","2 (100%)","0 (0%)","2 (100%)","1 (100%)","0 (0%)","0 (0%)","0 (0%)","1 (100%)","1 (33%)","0 (0%)","2 (67%)","0 (0%)","3 (100%)"
"Sydney Morning Herald","0 (0%)","3 (16%)","16 (84%)","0 (0%)","19 (100%)","0 (0%)","1 (7%)","13 (93%)","0 (0%)","14 (100%)","0 (0%)","4 (12%)","29 (88%)","0 (0%)","33 (100%)"
"The West Australian","0 (0%)","0 (0%)","6 (100%)","0 (0%)","6 (100%)","0 (0%)","0 (0%)","2 (100%)","0 (0%)","2 (100%)","0 (0%)","4 (12%)","29 (88%)","0 (0%)","33 (100%)"
"Total","12 (8%)","25 (17%)","104 (72%)","3 (2%)","144 (100%)","11 (13%)","19 (23%)","53 (64%)","0 (0%)","83 (100%)","23 (10%)","44 (19%)","157 (69%)","3 (1%)","227 (100%)"
